,Vacancy,Link,Company,City,Salary_min,Salary_max,Currency
202,Fullstack web developer,https://hh.ru/vacancy/36742046?query=python, Vintersaga (ООО Делаем Игры) ,Москва,,,
203,Senior Python 3.x Developer,https://hh.ru/vacancy/33989879?query=python, Лаборатория Касперского ,"Москва, Водный стадион",,,
204,Преподаватель по Python,https://hh.ru/vacancy/36955324?query=python, SF Education ,Москва,,,
205,DevOps/support engineer,https://hh.ru/vacancy/36819890?query=python,ООО Арго Технолоджи Ист ,Москва,,,
206,Python разработчик (Big Data),https://hh.ru/vacancy/35398526?query=python,"ПАО «МТС»,IT ","Москва, Технопарк",,,
207,Python разработчик SberDevices,https://hh.ru/vacancy/36286016?query=python, Сбербанк для начинающих ,Москва,,,
208,Data scientist,https://hh.ru/vacancy/36590093?query=python,ООО Джи Эф Си ,"Москва, Улица 1905 года",,,
209,Ведущий разработчик ПО в области облачных технологий,https://hh.ru/vacancy/36718840?query=python,ООО Прогматик Лаб ,"Москва, Белорусская и еще 1 ",250000,,руб.
210,Разработчик (Python),https://hh.ru/vacancy/35133105?query=python,ООО Лаборатория Наносемантика ,Москва,80000,150000,руб.
211,Senior iOS разработчик,https://hh.ru/vacancy/36858094?query=python, BestDoctor ,Москва,170000,350000,руб.
212,Python Developer,https://hh.ru/vacancy/36689388?query=python, Сбербанк для экспертов ,Москва,,,
213,Devops engineer,https://hh.ru/vacancy/34560367?query=python, Web3 Tech ,Москва,,,
214,Аналитик данных (Data Scientist),https://hh.ru/vacancy/35564668?query=python, ФГБУ ЦСП ФМБА России ,"Москва, Фрунзенская и еще 3 ",80000,,руб.
215,Разработчик DWH/BI,https://hh.ru/vacancy/36858596?query=python, РТС-Тендер ,"Москва, Выставочная",,,
216,"Python разработчик, SberDevices",https://hh.ru/vacancy/36795277?query=python, Сбербанк для экспертов ,Москва,,,
217,DevOps Engineer,https://hh.ru/vacancy/36858337?query=python, BestDoctor ,Москва,,180000,руб.
218,Data Engineer (BI),https://hh.ru/vacancy/36447991?query=python, Exness ,Москва,,,
219,Python разработчик в Mail.ru для бизнеса,https://hh.ru/vacancy/36822501?query=python," Mail.Ru Group, Решения для бизнеса ","Москва, Аэропорт",,,
220,PHP-разработчик,https://hh.ru/vacancy/32333890?query=python, Веб-Мост ,"Москва, Сокольники и еще 1 ",130000,150000,руб.
221,Инженер-разработчик (Python),https://hh.ru/vacancy/36486369?query=python, Auriga ,Москва,,,
222,Golang ведущий разработчик,https://hh.ru/vacancy/36847348?query=python,ООО Эйчэфти Арбитраж ,"Москва, Новокузнецкая",230000,300000,руб.
223,Разработчик Python (desktop приложения),https://hh.ru/vacancy/36855583?query=python, МойОфис ,"Москва, Тверская и еще 2 ",,,
224,Data scientist (NLP) - Sberbank AI Lab,https://hh.ru/vacancy/36869685?query=python, Сбербанк для экспертов ,Москва,,,
225,QA engineer (Junior),https://hh.ru/vacancy/36919964?query=python,АО РАСУ ,"Москва, Нагатинская",,,
226,Разработчик Python (Django),https://hh.ru/vacancy/36101850?query=python,ООО Джи Эф Си ,"Москва, Улица 1905 года",,,
